Marlon Brando
Robert De Niro
Al Pacino
Jack Nicholson
Tom Hanks
Leonardo DiCaprio
Denzel Washington
Morgan Freeman
Anthony Hopkins
Daniel Day-Lewis
Sean Connery
Clint Eastwood
Harrison Ford
Brad Pitt
Johnny Depp
Robert Downey Jr.
Samuel L. Jackson
Will Smith
Christopher Walken
Dustin Hoffman
Joaquin Phoenix
Heath Ledger
Christian Bale
Liam Neeson
Gene Hackman
Gary Oldman
Michael Caine
James Stewart
Humphrey Bogart
Clark Gable
Cary Grant
Paul Newman
John Wayne
Russell Crowe
Matt Damon
Tom Cruise
Sean Penn
Ben Kingsley
Meryl Streep
Robert Duvall
Daniel Craig
Jeff Bridges
Colin Firth
Sean Bean
Edward Norton
Kevin Spacey
Steve McQueen
Bruce Willis
Mickey Rourke
Jude Law
Orson Welles
Peter O'Toole
Christopher Lee
Ryan Gosling
Edward G. Robinson
Mel Gibson
Ralph Fiennes
Mark Ruffalo
John Travolta
Jeremy Irons
Benedict Cumberbatch
Patrick Stewart
Hugh Jackman
Willem Dafoe
John Malkovich
Robin Williams
Matt Dillon
Timothy Dalton
George Clooney
Andy Serkis
Alan Rickman
Ewan McGregor
Johnny Weissmuller
Tim Robbins
Keanu Reeves
Anthony Perkins
Jon Voight
Peter Sellers
Bill Murray
Donald Sutherland
Jean-Claude Van Damme
Michael Douglas
Tommy Lee Jones
Bradley Cooper
Jim Carrey
Gary Cooper
Dwayne Johnson
Henry Fonda
Kevin Costner
Antonio Banderas
Hugh Grant
Colin Farrell
Paul Rudd
Chris Evans
Idris Elba
Edward Norton
Viggo Mortensen
Christian Slater
Robert Redford
Matthew McConaughey
Vincent Price
Cillian Murphy
Wesley Snipes
Jeff Goldblum
James Dean
Jamie Foxx
Daniel Kaluuya
John C. Reilly
Tom Hardy
Jason Statham
Sylvester Stallone
Ian McKellen
Joseph Gordon-Levitt
Adam Driver
Charles Chaplin
Rami Malek
Ryan Reynolds
Martin Sheen
John Goodman
Robert Pattinson
Rupert Grint
John Leguizamo
Harvey Keitel
Toshiro Mifune
Djimon Hounsou
James McAvoy
Chadwick Boseman
Ashton Kutcher
Jake Gyllenhaal
Sam Rockwell
Matthew Perry
Gael García Bernal
Tom Holland
Bryan Cranston
Kirk Douglas
Daniel Radcliffe
Michael Keaton
Eddie Murphy
Ben Affleck
Joseph Fiennes
Matthew Broderick
Tobey Maguire
Jamie Bell
Jesse Eisenberg
Jared Leto
Daniel Brühl
Edward Norton
Forest Whitaker
Dennis Hopper
Josh Brolin
Colin Hanks
Christian Bale
Peter Falk
Robin Williams
Jared Harris
Steve Carell
Casey Affleck
Ethan Hawke
Billy Bob Thornton
Ben Foster
Michael B. Jordan
Michael Shannon
Javier Bardem
Jonah Hill
Bill Skarsgård
Adam Sandler
Daniel Craig
Zac Efron
Paul Rudd
Chris Pratt
John Krasinski
Riz Ahmed
Chiwetel Ejiofor
Diego Luna
Tom Hiddleston
Timothee Chalamet
John Boyega
Riz Ahmed
Dev Patel
Ansel Elgort
Tom Felton
Taron Egerton
Kit Harington
Richard Madden
Harry Styles
